published_at,headline,source,sentiment_neg,sentiment_neu,sentiment_pos,sentiment_compound
2020-01-01,Market update on 2020-01-01 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-02,Market update on 2020-01-02 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-03,Market update on 2020-01-03 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-06,Market update on 2020-01-06 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-07,Market update on 2020-01-07 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-08,Market update on 2020-01-08 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-09,Market update on 2020-01-09 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-10,Market update on 2020-01-10 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-13,Market update on 2020-01-13 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-14,Market update on 2020-01-14 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-15,Market update on 2020-01-15 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-16,Market update on 2020-01-16 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-17,Market update on 2020-01-17 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-20,Market update on 2020-01-20 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-21,Market update on 2020-01-21 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-22,Market update on 2020-01-22 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-23,Market update on 2020-01-23 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-24,Market update on 2020-01-24 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-27,Market update on 2020-01-27 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-28,Market update on 2020-01-28 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-29,Market update on 2020-01-29 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-30,Market update on 2020-01-30 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-01-31,Market update on 2020-01-31 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-03,Market update on 2020-02-03 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-04,Market update on 2020-02-04 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-05,Market update on 2020-02-05 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-06,Market update on 2020-02-06 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-07,Market update on 2020-02-07 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-10,Market update on 2020-02-10 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-11,Market update on 2020-02-11 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-12,Market update on 2020-02-12 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-13,Market update on 2020-02-13 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-14,Market update on 2020-02-14 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-17,Market update on 2020-02-17 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-18,Market update on 2020-02-18 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-19,Market update on 2020-02-19 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-20,Market update on 2020-02-20 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-21,Market update on 2020-02-21 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-24,Market update on 2020-02-24 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-25,Market update on 2020-02-25 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-26,Market update on 2020-02-26 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-27,Market update on 2020-02-27 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-02-28,Market update on 2020-02-28 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-02,Market update on 2020-03-02 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-03,Market update on 2020-03-03 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-04,Market update on 2020-03-04 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-05,Market update on 2020-03-05 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-06,Market update on 2020-03-06 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-09,Market update on 2020-03-09 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-10,Market update on 2020-03-10 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-11,Market update on 2020-03-11 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-12,Market update on 2020-03-12 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-13,Market update on 2020-03-13 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-16,Market update on 2020-03-16 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-17,Market update on 2020-03-17 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-18,Market update on 2020-03-18 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-19,Market update on 2020-03-19 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-20,Market update on 2020-03-20 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-23,Market update on 2020-03-23 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-24,Market update on 2020-03-24 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-25,Market update on 2020-03-25 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-26,Market update on 2020-03-26 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-27,Market update on 2020-03-27 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-30,Market update on 2020-03-30 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
2020-03-31,Market update on 2020-03-31 for query 'S&P 500',stub_source,0.0,1.0,0.0,0.0
