feature,value,shap_value
log_return,-0.0028304770367338,0.00037890122059904127
news_count,0.0,0.00010740402743947287
Open,4782.8798828125,4.3907941442260085e-05
sentiment_neg_mean,0.0,0.0
sentiment_mean,0.0,0.0
sentiment_pos_mean,0.0,0.0
Volume,3126060000.0,-1.6011052715043035e-06
vix_level,12.449999809265137,-1.1657509787846406e-05
rolling_vol_20,0.0060779639126647,-0.00010891180920067787
Low,4751.990234375,-0.00011297118362538076
High,4788.43017578125,-0.00019061575809172995
Close,4769.830078125,-0.0002908039515836776
ma_5,4772.82802734375,-0.00040079529230371266
ma_20,4685.051489257812,-0.0013502993511309942
