feature,value,shap_value
log_return,-0.0028304770367338,0.00036985312836935715
news_count,0.0,0.00015250615593990447
Open,4782.8798828125,8.222607107553227e-05
sentiment_pos_mean,0.0,0.0
sentiment_mean,0.0,0.0
sentiment_neg_mean,0.0,0.0
Volume,3126060000.0,-2.3838284828876652e-05
Low,4751.990234375,-6.619085201975586e-05
rolling_vol_20,0.0060779639126647,-0.0001851452089483031
Close,4769.830078125,-0.0002577724342775246
High,4788.43017578125,-0.00033471148026411056
ma_5,4772.82802734375,-0.0004465873578404895
ma_20,4685.051489257812,-0.0015863337774910996
